kept_trades,removed_trades,removed_net_profit_brl,all_trades,all_net_profit_brl,all_avg_profit_brl,all_profit_factor,all_win_rate,all_max_drawdown_pct,train_trades,train_net_profit_brl,train_avg_profit_brl,train_profit_factor,train_win_rate,train_max_drawdown_pct,test_trades,test_net_profit_brl,test_avg_profit_brl,test_profit_factor,test_win_rate,test_max_drawdown_pct,name,column,threshold,side,test_pf_delta,test_avg_delta
2200,479,3090.0,2200,11025.0,5.011363636363637,1.1998187584956954,0.7195454545454546,9.254807692307693,1551,7605.0,4.903288201160541,1.185986793837124,0.716956802063185,9.254807692307693,649,3420.0,5.269645608628659,1.23941197059853,0.7257318952234206,9.08256880733945,long_only_open_impulse_ge_18.5,signal_open_impulse,18.5,long,0.023590818405924807,0.5868097877331371
2424,255,910.0,2424,13205.0,5.447607260726072,1.2260162601626017,0.7244224422442245,8.349844324936315,1686,9470.0,5.616844602609727,1.222692533803645,0.7241992882562278,8.349844324936315,738,3735.0,5.060975609756097,1.2349056603773585,0.7249322493224932,7.349665924276169,long_only_trend_efficiency_ge_0.228847,signal_dir_trend_efficiency_15,0.228847,long,0.01908450818475327,0.3781397888605751
2108,571,2740.0,2108,11375.0,5.3961100569259965,1.2118644067796611,0.7234345351043643,8.950242718446603,1500,8150.0,5.433333333333334,1.2047738693467336,0.7233333333333334,8.950242718446603,608,3225.0,5.3042763157894735,1.232181425485961,0.7236842105263158,8.193832599118943,all_strength_score_ge_0.323752,strength_score,0.323752,all,0.016360273293355876,0.6214404948939514
2420,259,485.0,2420,13630.0,5.632231404958677,1.2321976149914822,0.7256198347107438,8.423757852655624,1695,10005.0,5.902654867256637,1.23378899404136,0.7262536873156342,8.423757852655624,725,3625.0,5.0,1.227915749764225,0.7241379310344828,8.01068090787717,long_only_dir_ret_15_ge_5,signal_dir_ret_15,5.0,long,0.012094597571619792,0.3171641791044779
1797,882,3280.0,1797,10835.0,6.0294936004451865,1.2413409065597505,0.7262103505843072,6.495468277945619,1261,8150.0,6.463124504361618,1.2490450725744844,0.7272006344171292,6.495468277945619,536,2685.0,5.009328358208955,1.2206244864420706,0.7238805970149254,7.392686804451511,long_only_strength_score_ge_0.585034,strength_score,0.585034,long,0.00480333424946533,0.32649253731343286
2404,275,2510.0,2404,11605.0,4.827371048252912,1.1945189406637613,0.7192179700499168,10.047142015321155,1692,8220.0,4.858156028368795,1.1866908925732456,0.7180851063829787,10.047142015321155,712,3385.0,4.754213483146067,1.2165706973768393,0.7219101123595506,9.070087036188731,long_only_open_impulse_ge_12.5,signal_open_impulse,12.5,long,0.0007495451842340906,0.07137766225054509
2679,0,0.0,2679,14115.0,5.268756998880179,1.2187354718735472,0.7237775289287047,9.25122083559414,1875,10350.0,5.52,1.2198152277795475,0.7237333333333333,9.25122083559414,804,3765.0,4.682835820895522,1.2158211521926052,0.7238805970149254,8.126410835214447,baseline_keep_all,,,,0.0,0.0
2207,472,2490.0,2207,11625.0,5.267331218849116,1.209951237132021,0.7222473946533756,9.484001153070048,1544,8420.0,5.453367875647668,1.2080810577041887,0.7221502590673575,9.484001153070048,663,3205.0,4.834087481146304,1.215028513921503,0.722473604826546,8.12274368231047,long_only_strength_score_ge_0.399236,strength_score,0.399236,long,-0.0007926382711023194,0.1512516602507823
1991,688,2740.0,1991,11375.0,5.713209442491211,1.2282990466633217,0.724761426418885,6.840390879478828,1403,8505.0,6.062009978617248,1.2332053742802302,0.7255880256593015,6.840390879478828,588,2870.0,4.880952380952381,1.2149007862223886,0.7227891156462585,8.689779378658262,long_only_strength_score_ge_0.496785,strength_score,0.496785,long,-0.0009203659702166078,0.1981165600568593
2125,554,2510.0,2125,11605.0,5.461176470588235,1.2210265688982003,0.7242352941176471,9.194029850746269,1500,8620.0,5.746666666666667,1.2238961038961038,0.7246666666666667,9.194029850746269,625,2985.0,4.776,1.2131381649410924,0.7232,7.493188010899182,all_range_vs_filter_ge_1.55311,signal_range_vs_filter,1.553112,all,-0.002682987251512836,0.09316417910447772
